stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2HSAU,29280,"HAUTS DE SAINT AUBIN",,47.492242,-0.560460,,,0,place_2HSA,,1
2JE23,30963,"JEAN XXIII",,47.448552,-0.562844,,,0,place_2JEA,,1
2JMOU,14673,"JEAN MOULIN",,47.490425,-0.552075,,,0,place__MOU,,1
2JVIL,4486,"JEAN VILAR",,47.444880,-0.562255,,,0,place_2VIL,,1
2LAFA,15573,"PLACE LA FAYETTE",,47.460830,-0.554606,,,0,place_2LAF,,1
2LGAR,11515,"LES GARES",,47.464494,-0.555350,,,0,place_GARE,,1
2PMAY,4961,"PLATEAU DE MAYENNE",,47.495760,-0.579940,,,0,place_2MAY,,1
2STGI,31945,"SAINT GILLES",,47.506242,-0.588975,,,0,place_2STG,,1
2STRA,16728,"STRASBOURG",,47.457518,-0.554059,,,0,place_2STR,,1
2STSE,175339,"SAINT SERGE UNIVERSITE",,47.476250,-0.550688,,,0,place__SSE,,1
2VERN,13983,"VERNEAU",,47.492517,-0.567162,,,0,place__VER,,1
AAMIPI,32237,"AMIPI",,47.463699,-0.626626,,,0,place_AAMIPI,,0
AAMIPI-E,28632,"AMIPI",,47.463783,-0.626675,,,0,place_AAMIPI,,0
AARD-7C,562,"AVRILLE - ARDENNE",,47.511027,-0.595431,,,0,place_ARDENN,,1
AARD-7E,27206,"AVRILLE - ARDENNE",,47.512074,-0.596647,,,0,place_ARDENN,,1
ABI,180,"AVICENNE",,47.481296,-0.688410,,,0,place_AVICEN,,0
ABI-E,931,"AVICENNE",,47.481266,-0.688869,,,0,place_AVICEN,,0
ACADEMIE,913399,"ACADEMIE",,47.467432,-0.559145,,,0,place_ACABLA,,0
ACAD-PLA,33737,"ACADEMIE",,47.468430,-0.558686,,,0,place_ACABLA,,0
ADEZIERE,1649,"AVRILLE ADEZIERE",,47.504950,-0.605053,,,0,place_DZIERE,,1
AIGREFOI,805210,"AIGREFOIN",,47.473258,-0.439654,,,0,place_AIGREF,,0
ALEROY,16814,"ANDRE LEROY",,47.464497,-0.548498,,,0,place_ANLERO,,1
ALLARD,27879,"ALLARD",,47.449534,-0.538747,,,0,place_ALLARD,,1
ALLARD-E,5528,"ALLARD",,47.448897,-0.538698,,,0,place_ALLARD,,1
ALLEMA-E,9078,"ALLEMAGNE",,47.527919,-0.599953,,,0,place_ALLEMA,,1
ALLEMAGN,7193,"ALLEMAGNE",,47.526667,-0.601923,,,0,place_ALLEMA,,1
ALLONNEA,16562,"ALLONNEAU",,47.485151,-0.527028,,,0,place_ALLONO,,1
ALLUME-E,6636,"ALLUMETTES",,47.444974,-0.502194,,,0,place_ALLU,,0
ALLUMETT,15447,"ALLUMETTES",,47.445270,-0.502320,,,0,place_ALLU,,0
ALSA-A,610546,"ALSACE",,47.470174,-0.550121,,,0,place_ALSACE,,0
ALSA-R,210951,"ALSACE",,47.470226,-0.550386,,,0,place_ALSACE,,0
ANAFRA-E,882585,"ANATOLE FRANCE",,47.531319,-0.613741,,,0,place_ANAFRA,,1
ANAFRAN,345518,"ANATOLE FRANCE",,47.531085,-0.613723,,,0,place_ANAFRA,,1
ANBRUE-E,648185,"ANDRE BRUEL",,47.526672,-0.468006,,,0,place_ABRUEL,,1
ANBRUEL,491458,"ANDRE BRUEL",,47.526587,-0.468124,,,0,place_ABRUEL,,1
ANDALA-E,587106,"GRAND LAUNAY",,47.461932,-0.387211,,,0,place_ANDLAU,,0
ANDALAUN,544772,"GRAND LAUNAY",,47.461916,-0.387439,,,0,place_ANDLAU,,0
ANDAMA-E,319038,"MAIRIE D'ANDARD",,47.456503,-0.397701,,,0,place_ANDARD,,0
ANDAMAIR,383609,"MAIRIE D'ANDARD",,47.456535,-0.398180,,,0,place_ANDARD,,0
ANDARE-E,503720,"REZEAU",,47.466847,-0.381857,,,0,place_ANDREZ,,0
ANDARESA,293715,"REZEAU",,47.467940,-0.378963,,,0,place_ANDREZ,,0
ANFRANCK,6103,"ANNE FRANK",,47.463559,-0.537773,,,0,place_ANNEFR,,1
ANFRAN-E,7909,"ANNE FRANK",,47.463465,-0.537766,,,0,place_ANNEFR,,1
ANLERO-E,14800,"ANDRE LEROY",,47.464626,-0.549028,,,0,place_ANLERO,,1
ANLEROY,29097,"ANDRE LEROY",,47.464661,-0.548248,,,0,place_ANLERO,,1
ANRO-11C,7919,"ANGERS - ROSERAIE",,47.444954,-0.551545,,,0,place__ARO,,0
ANRO-11E,17931,"ANGERS - ROSERAIE",,47.444875,-0.551926,,,0,place__ARO,,0
ANRO-5A,17458,"ANGERS - ROSERAIE",,47.444012,-0.553918,,,0,place__ARO,,1
ANRO-5B,12151,"ANGERS - ROSERAIE",,47.443776,-0.553672,,,0,place__ARO,,1
APPENT-E,20678,"APPENTIS",,47.445199,-0.546563,,,0,place_APPENT,,1
APPENTIS,30879,"APPENTIS",,47.445518,-0.546286,,,0,place_APPENT,,1
AQUA-A5A,17213,"AQUAVITA - CIRCULAIRE SENS A",,47.493399,-0.565286,,,0,place_AQUAVI,,1
AQUA-A5B,961964,"AQUAVITA - CIRCULAIRE SENS B",,47.493401,-0.565285,,,0,place_AQUAVI,,1
AQUA-D5A,55947,"AQUAVITA - CIRCULAIRE SENS A",,47.493407,-0.565537,,,0,place_AQUAVI,,1
AQUAVITA,52941,"AQUAVITA",,47.493401,-0.565285,,,0,place_AQUAVI,,1
AQUIT11,462834,"ALIENOR D'AQUITAINE",,47.462897,-0.615049,,,0,place_LACDEM,,1
AQUITA-E,14482,"ALIENOR D'AQUITAINE",,47.463023,-0.615073,,,0,place_LACDEM,,1
AQVI-D5B,96211,"AQUAVITA - CIRCULAIRE SENS B",,47.493497,-0.565528,,,0,place_AQUAVI,,1
ARAGO-E,26055,"ARAGON",,47.471732,-0.567569,,,0,place_FRONDE,,0
ARAGON,25304,"ARAGON",,47.471623,-0.567029,,,0,place_FRONDE,,0
ARBORE-E,21951,"ARBORETUM",,47.449385,-0.544430,,,0,place_ARBORE,,1
ARBORETU,32544,"ARBORETUM",,47.449317,-0.544143,,,0,place_ARBORE,,1
ARCAD-E,17259,"ARCADES",,47.507205,-0.516591,,,0,place_ARCADE,,0
ARCADES,24569,"ARCADES",,47.506927,-0.516858,,,0,place_ARCADE,,0
ARCEAU,15889,"ARCEAU",,47.471079,-0.519783,,,0,place_ARCEAU,,1
ARCEAU-E,16444,"ARCEAU",,47.470973,-0.519837,,,0,place_ARCEAU,,1
AROBA-E,31354,"AROBASE",,47.463994,-0.531698,,,0,place_AROBAS,,0
AROBASE,21097,"AROBASE",,47.464591,-0.531546,,,0,place_AROBAS,,0
ARTAUD,22172,"ARTAUD",,47.434046,-0.610954,,,0,place_STABOU,,1
ARTAUD-E,14855,"ARTAUD",,47.433341,-0.610894,,,0,place_STABOU,,1
ATHLET-E,12108,"ATHLETIS",,47.441471,-0.528349,,,0,place_ATHLET,,1
ATHLETIS,30156,"ATHLETIS",,47.441615,-0.527949,,,0,place_ATHLET,,1
ATOLL,21638,"L'ATOLL",,47.483026,-0.632254,,,0,place_ATOL38,,0
ATOLL AR,673486,"BEAUCOUZE L'ATOLL",,47.484232,-0.626432,,,0,place_ATOLL,,1
ATOLLBEA,20041,"BEAUCOUZE L'ATOLL",,47.484232,-0.626432,,,0,place_ATOLL,,1
ATOLL-E,43346,"L'ATOLL",,47.483180,-0.632515,,,0,place_ATOL38,,0
ATSVIL-E,180300,"ECOLE ACCUEIL VILLEVEQUE",,47.559509,-0.424173,,,0,place_VILACC,,0
ATSVILLE,329831,"ECOLE ACCUEIL VILLEVEQUE",,47.559478,-0.424182,,,0,place_VILACC,,0
AUBEPI-E,9385,"AUBEPINE",,47.461562,-0.495899,,,0,place_AUBEPI,,1
AUBEPINE,8536,"AUBEPINE",,47.461705,-0.495984,,,0,place_AUBEPI,,1
AUBERD-E,830731,"AUBERDERIE",,47.537906,-0.478534,,,0,place_AUBERD,,0
AUBERDER,747618,"AUBERDERIE",,47.537885,-0.478691,,,0,place_AUBERD,,0
AUBRIA-E,16914,"AUBRIAIS",,47.515750,-0.667693,,,0,place_AUBRIA,,0
AUBRIAIS,18000,"AUBRIAIS",,47.515797,-0.667935,,,0,place_AUBRIA,,0
AUBRY,7225,"AUBRY",,47.440983,-0.552069,,,0,place_AUBRY,,0
AUBRY-E,48579,"AUBRY",,47.441839,-0.552229,,,0,place_AUBRY,,0
AULNAI-E,172702,"LES AULNAIES",,47.586835,-0.439987,,,0,place_AULNAI,,0
AULNAIES,193602,"LES AULNAIES",,47.586747,-0.439937,,,0,place_AULNAI,,0
AULNERIE,937759,"AULNERIE",,47.587453,-0.492889,,,0,place_AULNER,,0
AURI-A5B,173687,"AURIOL",,47.491289,-0.564935,,,0,place_VERNEA,,1
AUTHIO-E,24408,"AUTHION",,47.431570,-0.528831,,,0,place_AUTHIO,,1
AUTHION,22482,"AUTHION",,47.431515,-0.528398,,,0,place_AUTHIO,,1
