service_id,date,exception_type
SCOL2122-Semaine-9-SCOL17-1000000,20210913,1
SCOL2122-Semaine-9-SCOL17-1100100,20210913,1
SCOL2122-Semaine-9-SCOL17-1101100,20210913,1
SCOL2122-Semaine-9-SCOL17-1111000,20210913,1
SCOL2122-Semaine-9-SCOL17-1111100,20210913,1
L_13PS21-Semaine-31-SUB2021-1111100,20210913,1
L_15PS21-Semaine-31-SUB2021-1111100,20210913,1
L_30PS21-Lun-Sam-31-SUB2021-1111100,20210913,1
L_30PS21-Lun-Sam-31-SUB2021-1111110,20210913,1
L_31PS21-Lun-Sam-31-SUB2021-1111100,20210913,1
L_31PS21-Lun-Sam-31-SUB2021-1111110,20210913,1
L_32PS21-Lun-Sam-31-SUB2021-1111100,20210913,1
L_32PS21-Lun-Sam-31-SUB2021-1111110,20210913,1
L_33PS21-Lun-Sam-31-SUB2021-1101100,20210913,1
L_33PS21-Lun-Sam-31-SUB2021-1111100,20210913,1
L_33PS21-Lun-Sam-31-SUB2021-1111110,20210913,1
L_34PS21-Lun-Sam-31-SUB2021-1111100,20210913,1
L_34PS21-Lun-Sam-31-SUB2021-1111110,20210913,1
L_35PS21-Lun-Sam-31-SUB2021-1101100,20210913,1
L_35PS21-Lun-Sam-31-SUB2021-1111100,20210913,1
L_35PS21-Lun-Sam-31-SUB2021-1111110,20210913,1
L_36PS21-Lun-Sam-31-SUB2021-1101100,20210913,1
L_36PS21-Lun-Sam-31-SUB2021-1111100,20210913,1
L_36PS21-Lun-Sam-31-SUB2021-1111110,20210913,1
L_37PS21-Lun-Sam-31-SUB2021-1111100,20210913,1
L_37PS21-Lun-Sam-31-SUB2021-1111110,20210913,1
L_38PS21-Lun-Sam-31-SUB2021-1101100,20210913,1
L_38PS21-Lun-Sam-31-SUB2021-1111100,20210913,1
L_38PS21-Lun-Sam-31-SUB2021-1111110,20210913,1
L_39PS21-Lun-Sam-31-SUB2021-1101100,20210913,1
L_39PS21-Lun-Sam-31-SUB2021-1111100,20210913,1
L_39PS21-Lun-Sam-31-SUB2021-1111110,20210913,1
L_41PS21-Lun-Sam-31-SUB2021-1111100,20210913,1
L_41PS21-Lun-Sam-31-SUB2021-1111110,20210913,1
L_42PS21-Lun-Sam-31-SUB2021-1111100,20210913,1
L_42PS21-Lun-Sam-31-SUB2021-1111110,20210913,1
L_43PS21-Lun-Sam-31-SUB2021-1101100,20210913,1
